headword,transliteration,meaning_en,part_of_speech
प्रपञ्च,prapañca,"1. pac, or paYc) expansion, development, manifestation Ma1n2d2Up.",m.
प्रपठ्,prapaṭh,P. -paWati,m.
प्रपण,prapaṇa,paR) exchange,m.
प्रपत्,prapat,"P. -patati, to fly away or along, hasten towards (loc.), fly or fall down upon (loc.), fall RV. &c",n.
प्रपथ,prapatha,"a way, journey (esp. to a distant place) RV.",m.
प्रपद्,prapad,"A1. -padyate (ep. also P.), to fall or drop down from (abl.), throw one's self down (at a person's feet) MBh.",f.
प्रपद्,prapad,fr. 3. pad) the fore part of the foot AV.,f.
प्रपन्न,prapanna,"&c , see col.1.",
प्रपन्नाड,prapannāḍa,Cassia Tora L,m.
प्रपर्ण,praparṇa,whose leaves are fallen Pat.,mfn.
प्रपलाय्,prapalāy,"palA = parA and ay = i) A1. -palAyate (ind.p. -palAyya), to run away, flee, escape MBh.",n.
प्रपलाश,prapalāśa,= pra-parRa Pat.,mfn.
प्रपवण,prapavaṇa,or pra-pavana n,n.
प्रपश्,prapaś,"P. -paSyati (ep. also A1. te), to see before one's eyes, look at, observe, behold RV. &c",mfn.
प्रपा,prapā,"P. -p/ibati, (ind.p. -pAya Pa1n2. 6-4, 69), to begin to drink, drink RV. &c",f.
प्रपा,prapā,P. -pAti,mfn.
प्रपाक,prapāka,See pra- 2,
प्रपाटिका,prapāṭikā,a young shoot or sprout L.,f.
प्रपाठक,prapāṭhaka,See pra-paW.,
प्रपाणि,prapāṇi,the fore-arm Car.,m.
प्रपाणिक,prapāṇika,the fore-arm Car.,m.
प्रपाण्डु,prapāṇḍu,very white,mfn.
प्रपाण्डुर,prapāṇḍura,very white,mfn.
प्रपात,prapāta,"&c , see pra-pat.",
प्रपादिक,prapādika,a peacock L.,m.
प्रपादीक,prapādīka,a peacock L.,m.
प्रपादुक,prapāduka,"&c , see above.",
प्रपितामह,prapitāmaha,a paternal great-grandfather VS.,m.
प्रपित्व,prapitva,"perhaps for pra-pit-tva fr. pat Page682,3",n.
प्रपिन्व्,prapinv,P. A1. -pinvati,
प्रपिष्,prapiṣ,P. -pinazwi,mfn.
प्रपी,prapī,"&c , see pra-pyE.",
प्रपीड्,prapīḍ,"P. -pIqayati, to press, squeeze S3Br.",n.
प्रपीति,prapīti,See pra- 1,
प्रपुट,prapuṭa,a large cornucopia Kaus3,m.
प्रपुण्डरीक,prapuṇḍarīka,v.l. for prapORq q.v.,
प्रपुत्र,praputra,a grandson,m.
प्रपुथ्,praputh,Caus,
प्रपुनाट,prapunāṭa,L.) m,m.
प्रपुनाड,prapunāḍa,Sus3r.) m,m.
प्रपुंनड,prapuṃnaḍa,L.)m,m.
प्रपुंनाट,prapuṃnāṭa,L.) m,m.
प्रपुंनाड,prapuṃnāḍa,Sus3r.) m,m.
प्रपुंनाल,prapuṃnāla,L.) m,m.
प्रपुराण,prapurāṇa,very old,mfn.
प्रपुष्,prapuṣ,P. -puzyati (RV.),
प्रपुष्पित,prapuṣpita,"flowering, in blossom, blooming MBh.",mfn.
प्रपूज्,prapūj,"P. -pUjayati, to respect, honour, esteem MBh.",mfn.
प्रपृ,prapṛ,only aor,
प्रपृच्,prapṛc,"P. -pfRakti, or -pfYcati, to come in contact with (acc.) RV.",
प्रपृथक्,prapṛthak,singly,ind.
प्रपृष्ठ,prapṛṣṭha,having a prominent or protuberant back Pa1n2,mfn.
प्रपॄ,prapṝ,"P. -pfRAti (See pra-pra-pF) Pass. -pUryate, to be filled, become full or satiated, be completed or fulfilled or accomplished MBh.",mf
प्रपौण्डरीक,prapauṇḍarīka,the root of Nymphaea Lotus Car,n.
प्रपौत्र,prapautra,"the son of a son's son, a great-grandson Katha1s.",m.
प्रप्यस,prapyasa,swelling AV,mfn.
प्रप्यै,prapyai,"A1. -pyAyate, to swell out, swell up, be distended or exuberant RV.",mfn.
प्रप्रजन्,praprajan,A1. -jAyate,
प्रप्रपॄ,praprapṝ,P. -pfRAti,
प्रप्रर्ष्,praprarṣ,-pra-fz) P,
प्रप्रवी,prapravī,P. -veti,
प्रप्रशंस्,prapraśaṃs,Pass,
प्रप्रश्रु,prapraśru,Pass,
प्रप्रस्था,praprasthā,A1. -tizWate,
प्रप्रास्,praprās,-pra- as) P,
प्रप्री,praprī,Caus,
प्रप्रुथ्,prapruth,"P. -proTati, to snort (as a horse) RV.",m.
प्रप्रे,prapre,-pra-i) P,
प्रप्लु,praplu,"A1. -plavate, to go to sea (samudram), float or sail away TS.",n.
प्रफर्वी,prapharvī,a wanton or lascivious girl RV.,f.
प्रफुल्त,praphulta,= pra-Pulla Pa1n2,mfn.
प्रबन्ध्,prabandh,"P. -baDnAti, to bind on, fasten, fetter, check, hinder S3Br.",mfn.
प्रबभ्र,prababhra,N. of Indraindra Ka1t2h. (cf. pravaBr/a).,m.
प्रबर्ह,prabarha,"1 bfh) the best, most excellent MBh.",m.
प्रबर्हण,prabarhaṇa,2. bfh,n.
प्रबल,prabala,"mf(A)n. strong, powerful, mighty, great, important (as a word), violent (as pain) MBh.",mf
प्रबली,prabalī,a class,f.
प्रबह्लिका,prabahlikā,See pra-vahlikA.,
प्रबाध्,prabādh,"A1. -bADate (ep. also P. ti), to press forward, drive, urge, promote RV.",mfn.
प्रबाल,prabāla,See pra-vAla.,
प्रबालक,prabālaka,N. of a Yakshayakza MBh.,m.
प्रबालिक,prabālika,or -vAlika ?) m,m.
प्रबाहु,prabāhu,the fore-arm Var.,m.
प्रबाहुक्,prabāhuk,"in an even line, on a level TS.",ind.
प्रबुध्,prabudh,"A1. -buDyate (Ved. inf. -b/uDe), to wake up, wake, awake (intrans.) RV. &c",mfn.
प्रब्रू,prabrū,"P. A1. -bravIti, -brUte, to exclaim, proclaim, announce, declare, teach, indicate, betray RV.",
प्रभज्,prabhaj,"P. A1. -Bajati, te, to execute, accomplish Pan5car.",m.
प्रभञ्ज्,prabhañj,P. -Ban/akti,mfn.
प्रभद्र,prabhadra,Azadirachta Indica L.,n.
प्रभर्तव्य,prabhartavya,"&c , see pra-Bf.",
प्रभव,prabhava,"&c , see under pra-BU.",
प्रभा,prabhā,"P. -BAti, to shine forth, begin to become light, shine, gleam RV. &c",f.
प्रभाग,prabhāga,See pra-Baj.,
प्रभारक,prabhāraka,w.r. for praBA-kara MBh.,
प्रभाव,prabhāva,"&c , see pra-BU.",
प्रभाष्,prabhāṣ,"A1. -BAzate (ep. also P. ti), to speak, tell, declare, disclose, manifest, explain, call, name MBh.",m.
प्रभास्,prabhās,"A1. -BAsate (ep. also P. ti), to shine, glitter, be brilliant MBh.",m.
प्रभिद्,prabhid,"P. -Binatti, to cleave, split asunder, break, pierce, open RV. &c &c: Pass. -Bidyate, to be broken in pieces, crumble S3Br.",mfn.
प्रभी,prabhī,only pf,mfn.
प्रभु,prabhu,See under pra-BU below.,
प्रभुज्,prabhuj,"only ind.p. -Bujya), to bend, incline Br.",mfn.
प्रभुज्,prabhuj,only pr,mfn.
प्रभू,prabhū,P. -Bavati (rarely A1. te,mfn.
प्रभूष्,prabhūṣ,P. -BUzati,
प्रभृ,prabhṛ,"P. A1. -Barati, te, to bring forward, place before, offer, present RV.",mfn.
प्रभेद,prabheda,See pra-Bid.,
प्रभ्रंश्,prabhraṃś,"A1. -BraSyate, to fall away, slip off, drop down, disappear, vanish R.",m.
प्रभ्रम्,prabhram,P. -Bramati,
प्रभ्राज्,prabhrāj,A1. -BrAjate,mfn.
प्रम्,pram,1. prA).,ind.
प्रमंहिष्ठीय,pramaṃhiṣṭhīya,N. of the hymn RV. i,n.
प्रमगन्द,pramaganda,"the son of a usurer RV. iii, 53, 14 (Sa1y.",m.
प्रमग्न,pramagna,See pra-majj below.,
प्रमङ्कन,pramaṅkana,Pat. on Pa1n2. 8-4,n.
प्रमङ्गन,pramaṅgana,Ka1s3. on Pa1n2.,n.
प्रमज्ज्,pramajj,P. -majjati,mfn.
प्रमणस्,pramaṇas,careful,mfn.
प्रमण्डल,pramaṇḍala,prob.) the felly of a wheel MBh.,n.
प्रमत,pramata,See pra-man.,
प्रमत्त,pramatta,See pra-mad.,
प्रमथ्,pramath,"or manT) P. -maTati, or -maTnAti, to stir up violently, churn (the ocean) Ragh.",m.
प्रमद्,pramad,"or mand) P. (rarely A1.) -madati, -mandati, -mAdyati (te), to enjoy one's self, be joyous, sport, play RV.",
प्रमन्द्,pramand,"or mad) P. (rarely A1.) -madati, -mandati, -mAdyati (te), to enjoy one's self, be joyous, sport, play RV.",mfn.
प्रमन्,praman,only A1,mfn.
प्रमन्थ्,pramanth,see pra-maT.,
प्रमन्द,pramanda,danI,
प्रमय,pramaya,1. 2. pra-maya.,
प्रमर,pramara,See under pra-mf.,
प्रमर्द,pramarda,daka &c,
प्रमहस्,pramahas,of great might or splendour (said of Mitramitra-Varun2avaruRa) RV.,mfn.
प्रमा,pramā,A1. -mimIte (Ved. inf. pra-m/e,m.
प्रमातव्य,pramātavya,See pra-mI below.,
प्रमातृ,pramātṛ,for 1,f.
प्रमात्र,pramātra,or n,m.
प्रमाथ,pramātha,"&c , see pra-maT.",
प्रमाद,pramāda,"&c , see pra-mad.",
प्रमापण,pramāpaṇa,See pra-mA.,
प्रमापण,pramāpaṇa,"&c , see pra-mI.",
प्रमार,pramāra,See pra-mf.,
प्रमार्जक,pramārjaka,"&c , see pra-mfj.",
प्रमि,prami,"P. A1. -minoti, -minute, to erect, build KaushUp.",n.
प्रमिद्,pramid,P. A1. -medyati,mfn.
प्रमिह्,pramih,P. -mehati,mfn.
प्रमी,pramī,"P. -minAti (-mIRAti Pa1n2. 8-4, 15",m.
प्रमीढ,pramīḍha,See pra-mih above.,
प्रमील्,pramīl,P. -mIlati,m.
प्रमीव्,pramīv,"P. -mIvati, to push towards, press",
प्रमुक्ति,pramukti,See pra-muc below.,
प्रमुख,pramukha,turning the face towards,mfn.
प्रमुग्ध,pramugdha,See pra-muh.,
प्रमुच्,pramuc,"P. A1. -muYcati, te, to set free, let go, liberate, release from (abl.) RV.",mfn.
प्रमुद्,pramud,"A1. -modate, to become joyful, rejoice greatly, exult, be delighted AV. &c &c: Caus. -modayati, to make glad, delight Mn.",mfn.
प्रमुर्छ्,pramurch,P. -mUrCati,
प्रमुष्,pramuṣ,"P. -muzRAti, to steal away, rob, carry off, take away RV.",mfn.
प्रमुह्,pramuh,"P. -muhyati, to become bewildered or infatuated MBh.",mfn.
प्रमूत्रित,pramūtrita,begun to be urined (n,mfn.
प्रमूर,pramūra,in /a-p q.v.,
प्रमूर्छ्,pramūrch,See pra-murC.,
प्रमूषिका,pramūṣikā,the external corner of the eye VarBr2S,f.
प्रमृ,pramṛ,Caus,m.
प्रमृगम्,pramṛgam,mfg) g,ind.
प्रमृज्,pramṛj,"P. -mArzwi (-mArjati, te MBh.",mfn.
प्रमृड,pramṛḍa,gracious,mfn.
प्रमृण्,pramṛṇ,P. -mfRati,mf
प्रमृत,pramṛta,"&c , see pra-mf.",
प्रमृद्,pramṛd,"P. -mfdnAti, to crush down, bruise, destroy, ravage, devastate MBh.",m.
प्रमृश्,pramṛś,"P. -mfSati, to lay hold of touch, handle AV.",mfn.
प्रमृष्,pramṛṣ,only pf,mfn.
प्रमॄ,pramṝ,"P. -mfRAti (cf. pra-mfR), to crush, destroy RV.",mfn.
प्रमे,prame,See under pra-mA.,ind.
प्रमेतोस्,prametos,See under pra-mI.,
प्रमेदित,pramedita,See pra-mid.,
प्रमेय,prameya,See p,
प्रमेह,prameha,"&c , see under pra-mih.",
प्रमोक,pramoka,"&c , see pra-muc.",
प्रमोक्ष,pramokṣa,mokz) letting fall,m.
प्रमोत,pramota,perhaps fr,
प्रमोद,pramoda,"&c , see pra-mud.",
प्रमोष,pramoṣa,See pra-muz.,
प्रमोह,pramoha,"&c , see pra-muh.",
प्रम्रद्,pramrad,only Ved,
प्रम्लुच्,pramluc,P. -mlocati,f.
प्रम्लै,pramlai,"P. -mlAyati, to fade or wither away Bhat2t2.",mfn.
प्रयक्ष्,prayakṣ,"P. A1. -yakzati, te (inf. -y/akze), to hasten forward, press onward, be eager",mfn.
प्रयज्,prayaj,"P. A1. -yajati, te (inf. -y/ajaDyE), to worship, sacrifice to (acc.) RV.",f.
प्रयत्,prayat,"A1. -yatate, to be active or effective TBr. (ep. also P. ti)",n.
प्रयभ्,prayabh,P. -yaBati,
प्रयम्,prayam,"P. A1. -yacCati, te, to hold out towards, stretch forth, extend RV.",mfn.
प्रयस्,prayas,"P. -y/asyati (cf. Pa1n2. 3-1, 71), to begin to bubble AV.",mfn.
प्रयस्,prayas,"prI) pleasure, enjoyment, delight RV",n.
प्रया,prayā,"P. -yAti, to go forth, set out, progress, advance towards or against, go or repair to (acc., also with acCa, or prati, or loc.) RV. &c",f.
प्रयाग,prayāga,yAja,
प्रयाच्,prayāc,"P. A1. -yAcati, te, to ask for, beg, solicit, request (with acc. of pers. and thing) MBh.",mfn.
प्रयाण,prayāṇa,"&c , see under pra-yA.",
प्रयास,prayāsa,See under pra-yas.,
प्रयु,prayu,only aor,mfn.
प्रयु,prayu,"P. -yOti, to stir, mingle TS.",mfn.
प्रयुछ्,prayuch,"P. -yucCati, to be absent",
प्रयुज्,prayuj,A1. -yuNkte (rarely P. -yunakti,mfn.
प्रयुध्,prayudh,"A1. -yuDyate (rarely P. ti), to begin to fight, attack, fight with (acc.) RV.",m.
प्रयुवन,prayuvana,See under pra- 2,
प्रयै,prayai,See under pra-yA.,
प्रयोक्तव्य,prayoktavya,pra-yoga,
प्रयोतृ,prayotṛ,See under pra- 1,
प्रय्यमेध,prayyamedha,= prEyyameDa (w.r,
प्ररक्ष्,prarakṣ,"P. -rakzati, to protect against, save from (abl.",mfn.
प्ररथम्,praratham,g. tizWadgv-Adi.,ind.
प्ररद्,prarad,P. -radati,
प्ररप्,prarap,P. -rapati,
प्ररप्श्,prarapś,only A1,
प्ररम्,praram,Caus,
प्रराधस्,prarādhas,rAD) N,m.
प्ररिच्,praric,"A1. -ricyate, to excel, surpass, be superior to (abl.) RV.",mfn.
प्ररी,prarī,"P. -riRAti, to sever, detach, take away RV. ii, 22, 4",
प्ररु,praru,P. -rOti,
प्ररुच्,praruc,"A1. -rocate, to shine forth RV.",mf
प्ररुज्,praruj,"P. -rujati, to break down, break RV.",m.
प्ररुद्,prarud,"P. -roditi, to begin to mourn or cry or weep, lament or cry aloud S3a1n3khGr2.",mfn.
प्ररुध्,prarudh,"P. A1. -ruRadDi, -rundDe, to keep or hold back, check, stop Br.",
प्ररुह्,praruh,"P. -rohati, to grow up, shoot forth, shoot up VS.",mfn.
प्ररूप्,prarūp,P. -rUpayati,nf.
प्ररेक,prareka,r/ecana,
प्ररेज्,prarej,A1. -rejate,
प्रर्क्षीय,prarkṣīya,"Nom. P. yati (fr. prarkza = pra + fkza) Vop. ii, 4",
प्रर्च्छक,prarcchaka,fr. pra + fcCaka) Pat.,mfn.
प्रर्षभीय,prarṣabhīya,"Nom. P. yati (fr. prarzaBa = pra + fzaBa) Pa1n2. 6-1, 22 Sch.",
प्रलघु,pralaghu,very inconsiderable,mfn.
प्रलप्,pralap,"P. -lapati, to speak forth (inconsiderately or at random), prattle, talk idly or incoherently, trifle TBr.",n.
प्रलभ्,pralabh,"A1. -laBate, to lay hold of, seize MBh.",mfn.
प्रलम्फन,pralamphana,a jump L.,n.
प्रलम्ब्,pralamb,"A1. -lambate, to hang down Das3.",mf
प्रलम्भ,pralambha,lamBana,
प्रलय,pralaya,"&c , see under pra-lI.",
प्रललाट,pralalāṭa,having a prominent forehead MBh.,mfn.
प्रलव,pralava,"&c , see under pra-lU.",
प्रलाप,pralāpa,"&c , see under pra-lap.",
प्रलिख्,pralikh,"P. A1. -liKati, te, (P.) to scratch, draw lines in (acc.) Mn. iv, 55",
प्रलिप्,pralip,"P. A1. -limpati, te, to smear, besmear, stain (A1. to smear &c one's self) S3Br.",mfn.
